name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Rudolf Steiner House,35 Park Road,,,E09000033,City of Westminster,200001772116.0,E05000632,Bryanston and Dorset Square,http://www.rsh.anth.org.uk,-0.1605557434657712,51.52489743109743,527704.9652773918,182267.92328552727,12/29/2019,dance,"35 Park Rd, Marylebone, London NW1 6XT, United Kingdom",Rudolf Steiner House,ChIJg1VUzdcadkgRWf_hFmQedYg,4.8,"['school', 'point_of_interest', 'establishment']",8.0
Savoy Theatre,2 Savoy Court,,,E09000033,City of Westminster,100023612110.0,E05000644,St. James's,http://www.savoytheatre.org,-0.12086982981048652,51.510167841225176,530499.9645179184,180699.9237094188,12/29/2019,dance,"Savoy Ct, London WC2R 0ET, United Kingdom",Savoy Theatre,ChIJPyb_JskEdkgRdr2YpgCQ_1M,4.6,"['point_of_interest', 'establishment']",2349.0
Shaftesbury Theatre,210 Shaftesbury Avenue,,,E09000007,Camden,5038488.0,E05000138,Holborn and Covent Garden,http://www.shaftesburytheatre.com,-0.1260953408279352,51.51627657115764,530119.9646215718,181369.92352834725,12/29/2019,dance,"210 Shaftesbury Ave, London WC2H 8DP, United Kingdom",The Shaftesbury Theatre,ChIJP9s7JzMbdkgRUqiioDkVnzI,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",3968.0
Shaw Theatre,100-110 Euston Road,,,E09000007,Camden,5083194.0,E05000143,St. Pancras and Somers Town,http://www.shaw-theatre.com,-0.12811024024435436,51.52864677124312,529944.9646721247,182741.92315725415,12/29/2019,dance,"100-110 Euston Rd, Kings Cross, London NW1 2AJ, United Kingdom",Shaw Theatre,ChIJdd9mIzsbdkgRJqtjYQJ4h84,4.3,"['point_of_interest', 'establishment']",294.0
Southwark Playhouse,77-85 Newington Causeway,,,E09000028,Southwark,200003374411.0,E05011098,Chaucer,http://www.southwarkplayhouse.co.uk,-0.098224092824595,51.4975007530526,532107.9640817203,179331.92408259778,12/29/2019,dance,"77-85 Newington Causeway, London SE1 6BD, United Kingdom",Southwark Playhouse,ChIJKxatClADdkgREuLSDZZvcv0,4.5,"['point_of_interest', 'establishment']",782.0
The King's Head Theatre,115 Upper Street,,,E09000019,Islington,5300094557.0,E05000379,St. Mary's,http://www.kingsheadtheatrepub.co.uk,-0.10281017665850987,51.538303155854244,531671.9642014832,183860.92285362488,12/29/2019,dance,"115 Upper St, The Angel, London N1 1QN, United Kingdom",King's Head Theatre Pub,ChIJ-S8EqGcbdkgRBzv1xEAzpmY,4.3,"['bar', 'point_of_interest', 'establishment']",887.0
The Lion and Unicorn Theatre,42-44 Gaisford Street,,,E09000007,Camden,5082943.0,E05000131,Cantelowes,http://www.thelionandunicornnw5.co.uk,-0.13892271099645245,51.54809015069022,529139.964888948,184884.92257493624,12/29/2019,dance,"42-44 Gaisford St, Kentish Town, London NW5 2ED, United Kingdom",The Lion And Unicorn,ChIJw4ck5gIbdkgRmokLYvcDorI,4.4,"['park', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",607.0
The O2 Arena,Peninsula Square,,,E09000011,Greenwich,10010228254.0,E05000225,Peninsula,https://www.theo2.co.uk,0.003185639402138716,51.502920543654774,539130.1721742458,180122.4238672815,12/29/2019,dance,"Peninsula Square, Greenwich Peninsula, London SE10 0DX, United Kingdom",The O2,ChIJh7MHVRyo2EcR39q58wztHZg,4.5,"['shopping_mall', 'restaurant', 'food', 'point_of_interest', 'establishment']",40649.0
The Phoenix Artists Club,1 Phoenix Street,,,E09000033,City of Westminster,10033531800.0,E05000644,St. James's,http://www.phoenixartistclub.com,-0.1286176073655147,51.509599266158936,529963.9646645135,180622.9237318929,12/29/2019,dance,"1 Phoenix St, London WC2H 8BU, United Kingdom",Phoenix Arts Club,ChIJS4XRk80EdkgRZZTlqj9RD8s,4.5,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",592.0
The Rosemary Branch,2A Shepperton Road,,,E09000019,Islington,5300082551.0,E05000369,Canonbury,http://www.rosemarybranchtheatre.co.uk,-0.08693312001556831,51.53762240943038,532774.9639029889,183813.92286536293,12/29/2019,dance,"2 Shepperton Rd, London N1 3DT, United Kingdom",Rosemary Branch,ChIJwQ6g7vcCdkgRTceIE35SzvU,4.5,"['bar', 'point_of_interest', 'establishment']",514.0
The Royal Albert Hall,9 Kensington Gore,,,E09000033,City of Westminster,100023378047.0,E05000637,Knightsbridge and Belgravia,https://www.royalalberthall.com,-0.17751558951229515,51.50126863054021,526593.9655811379,179610.92400777317,12/29/2019,dance,"Kensington Gore, South Kensington, London SW7 2AP, United Kingdom",Royal Albert Hall,ChIJ0XqGIVsFdkgR2S_aNe6c_l4,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",23189.0
The Scoop at More London,Queen's Walk,,,E09000028,Southwark,10013532078.0,E05011104,London Bridge & West Bermondsey,,-0.07925760856509012,51.5050300630616,533402.4237311499,180203.56384499985,12/29/2019,dance,"The Scoop at More London, London SE1 2AA, UK",The Scoop at More London,ChIJcR4LeE8DdkgR82TYOy2PuWk,,['town_square'],
The Yard,2A QueenÃÃÃs Yard,,,E09000030,Tower Hamlets,6077552.0,E05009319,Bow East,https://theyardtheatre.co.uk,-0.023382441032787717,51.54263858650894,537166.9627073342,184488.92268209907,12/29/2019,dance,,,,,,
Theatre Royal Drury Lane,6 Catherine Street,,,E09000033,City of Westminster,10033555899.0,E05000644,St. James's,http://www.reallyusefultheatres.co.uk/our-theatres/theatre-royal?utm_source=theatreroyalboxoffice.co.uk,-0.12034041639956827,51.51287516912527,530528.9645104534,181001.92362742356,12/29/2019,dance,"Catherine St, Covent Garden, London WC2B 5JF, United Kingdom","Theatre Royal, Drury Lane",ChIJj91E_coEdkgRlUibJh13Jws,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",3391.0
White Bear Theatre,138 Kennington Park Road,,,E09000022,Lambeth,100021856679.0,E05000427,Prince's,http://www.whitebearkennington.co.uk,-0.10809969471258074,51.48690515526746,531452.9642608745,178135.92440696195,12/29/2019,dance,"138 Kennington Park Rd, London SE11 4DJ, United Kingdom",White Bear Theatre,ChIJbQg25ZAEdkgRsXVPmMtkzac,4.3,"['point_of_interest', 'establishment']",16.0
Testbed 1,33 Parkgate Road,,,E09000032,Wandsworth,100023587064.0,E05000622,St. Mary's Park,http://testbed1.com,-0.1683291338545022,51.478832708561725,527293.9653883344,177131.92468093647,12/29/2019,dance,"33 Parkgate Rd, Battersea, London SW11 4NP, United Kingdom",Testbed1,ChIJAQDQkHMFdkgRulHi6JYrWso,0.0,"['point_of_interest', 'establishment']",0.0
The Other Palace,12 Palace Street,,,E09000033,City of Westminster,10033568019.0,E05000644,St. James's,https://www.theotherpalace.co.uk,-0.14226133584936454,51.49871015103021,529047.9649120737,179387.9240681216,12/29/2019,dance,"12 Palace St, Westminster, London SW1E 5JA, United Kingdom",The Other Palace,ChIJ6TAJtiAFdkgRgCe9RbuqdZQ,4.7,"['point_of_interest', 'establishment']",919.0
Winston Churchill Theatre,Manor Farm,,,E09000017,Hillingdon,100023034034.0,E05000329,Eastcote and East Ruislip,http://www.hillingdontheatres.uk,-0.4287435141039275,51.57894530296579,508971.97037391935,187844.92177062976,12/29/2019,dance,"Manor Farm, Pinn Way, Ruislip HA4 7QL, United Kingdom",Winston Churchill Theatre,ChIJVV-fS2BsdkgRUDVabnRVLYQ,4.1,"['point_of_interest', 'establishment']",245.0
Waterloo East Theatre,19 Brad Street,,,E09000022,Lambeth,10000445872.0,E05000416,Bishop's,http://www.waterlooeast.co.uk,-0.11001128800792538,51.50406715666158,531270.9643080987,180040.9238909563,12/29/2019,dance,"Brad St, Lambeth, London SE1 8TN, United Kingdom",Waterloo East Theatre,ChIJ-22LDLoEdkgRtthY7vxl-zU,4.1,"['point_of_interest', 'establishment']",86.0
St John's Smith Square,St John's Smith Square,,,E09000033,City of Westminster,10033557786.0,E05000644,St. James's,https://www.sjss.org.uk,-0.12708978168890295,51.495905927024616,530108.964624181,179102.9241453025,12/29/2019,dance,"Smith Square, Westminster, London SW1P 3HA, United Kingdom",St John's Smith Square,ChIJHT2Z5sIEdkgRjrJZLxTQEeE,4.5,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",536.0
St John's Church,Grove Ln,,,E09000021,Kingston upon Thames,128008048.0,E05000408,Grove,http://www.stjohnskingston.co.uk,-0.3007542072147933,51.403085419888846,518293.96783602575,168486.92702962784,12/29/2019,dance,"St John the Evangelist, Grove Ln, Kingston upon Thames KT1 2SU, United Kingdom","St John's Church, Kingston upon Thames",ChIJ3xA_wsYLdkgRA1gIZSgt5h0,4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",15.0
Theatre Royal Haymarket,18 Suffolk Street,,,E09000033,City of Westminster,100023605397.0,E05000644,St. James's,http://www.trh.co.uk,-0.13127992874291025,51.5086345259202,529781.9647144428,180510.9237629653,12/29/2019,dance,"18 Suffolk St, London SW1Y 4HT, United Kingdom",Theatre Royal Haymarket,ChIJCerNntEEdkgREXyOfBHn6fQ,4.5,"['point_of_interest', 'establishment']",2320.0
Church Hall of the Church of the Holy Apostles,47 Cumberland Street,,,E09000033,City of Westminster,10033527293.0,E05000647,Warwick,http://www.holyapostlespimlico.org,-0.14335521293078882,51.488457802647254,529000.9649267804,178245.92437696538,12/29/2019,dance,"47 Cumberland St, Pimlico, London SW1V 4LY, United Kingdom",Holy Apostles Catholic Church,ChIJO2HT1R0FdkgRItOxxB-WO_Y,4.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",54.0
The Gallery at The Hospital Club,24 Endell Street,,,E09000007,Camden,5109164.0,E05000138,Holborn and Covent Garden,http://www.thehospitalclub.com,-0.12455228800557876,51.5148940090125,530230.9645915412,181218.92356917335,12/29/2019,dance,"24 Endell St, London WC2H 9HQ, United Kingdom",h Club London,ChIJjWqEyswEdkgRqYYR8_n71sQ,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",1112.0
Freed of London,94 St Martins Lane,,,E09000033,City of Westminster,10033553950.0,E05000644,St. James's,,-0.12721960185642112,51.51065608198686,530057.9646387063,180742.92369897728,12/29/2019,dance,"94 St Martin's Ln, Covent Garden, London WC2N 4AT, United Kingdom",Freed of London,ChIJF4PizM0EdkgRKTzNbQ0hjfM,4.4,"['shoe_store', 'point_of_interest', 'store', 'establishment']",96.0
