name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Royal Standard,1 Sheldon Street,Croydon,,E09000008,Croydon,100000000000.0,E05011468,Fairfield,www.royalstandardcroydon.co.uk,-0.10158984564517624,51.369920865090315,532241.9641663588,165138.92806112606,12/29/2019,music,"1 Sheldon St, Croydon CR0 1SS, United Kingdom",Royal Standard,ChIJa_rqWjYHdkgRc1o4U45kNmM,4.4,"['bar', 'point_of_interest', 'establishment']",123.0
The Soulful Cellar,90 High Street,Croydon,,E09000008,Croydon,200000000000.0,E05011468,Fairfield,,-0.10033017811729696,51.370502962967976,532327.9641431764,165205.92804326274,12/29/2019,music,"90B High St, Croydon CR0 1ND, United Kingdom",Soulful Cellar,ChIJY3mFYjYHdkgRGvJoEEJLPHI,2.3,"['night_club', 'bar', 'point_of_interest', 'establishment']",4.0
Ship,47 High Street,Croydon,,E09000008,Croydon,200000000000.0,E05011468,Fairfield,www.shippub.co.uk,-0.10006559288778777,51.37203645688718,532341.964139391,165376.92799745593,12/29/2019,music,"47 High St, Croydon CR0 1QD, United Kingdom",Ship Croydon,ChIJm3JKvDYHdkgRWZ67kql8ouA,4.4,"['bar', 'point_of_interest', 'establishment']",377.0
Matthews Yard,1 Matthews Yard,Croydon,,E09000008,Croydon,10090382144.0,E05011468,Fairfield,,-0.10109493458938733,51.372161064932726,532269.964158761,165388.92799426088,12/29/2019,music,"1 Matthews Yard, Croydon CR0 1RG, UK",1 Matthews Yard,ChIJcXVzwTYHdkgROFMJbfrVpzw,,['street_address'],
Tiger Tiger,16 High Street,Croydon,,E09000008,Croydon,10014052022.0,E05011468,Fairfield,,-0.10078756035678836,51.372992420207936,532288.9641536344,165481.92796935933,12/29/2019,music,"16 High St, Croydon CR0 1GT, United Kingdom",Tiger Tiger Croydon,ChIJl3LNytIGdkgRCNHmMsWHPik,2.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",34.0
Project B,1 Bell Hill,Croydon,,E09000008,Croydon,10090380116.0,E05011468,Fairfield,,-0.1011570349462338,51.37343906229542,532261.9641608853,165530.92795626784,12/29/2019,music,,,,,,
Boxpark Croydon,Boxpark Croydon 99,George Street,Croydon,E09000008,Croydon,10093049119.0,E05011468,Fairfield,,-0.0936970094867044,51.37489165000726,532776.9640225231,165705.9279085112,12/29/2019,music,"99 George St, Croydon CR0 1LD, United Kingdom",BOXPARK Croydon,ChIJ_exC98wadkgR5_yqfSEuQOc,4.3,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",5637.0
The Red Lion,Hackbridge Road Sutton,,,E09000029,Sutton,5870110898.0,E05000571,Wandle Valley,,-0.1576133532386902,51.37835061480585,528318.9652352479,165976.9278344722,12/29/2019,music,"Hackbridge Rd, Wallington SM6 7AX, United Kingdom",The Red Lion,ChIJubyKsLAHdkgRzXGdhuLjToI,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",170.0
Oval Tavern,131 Oval Road,Croydon,,E09000008,Croydon,100000000000.0,E05011463,Addiscombe West,www.theovaltavern.co.uk,-0.0876196036623581,51.37832679948797,533189.9639117722,166098.92780133593,12/29/2019,music,"131 Oval Rd, Croydon CR0 6BR, United Kingdom",The Oval Tavern,ChIJtTOKAM4AdkgRfYnt6TGv_Ek,4.5,"['bar', 'point_of_interest', 'establishment']",584.0
Builders Arms,65 Leslie Park Road,Croydon,,E09000008,Croydon,100000000000.0,E05011463,Addiscombe West,www.buildersarmscroydon.co.uk,-0.08584581107724915,51.37951187620543,533309.9638794657,166233.9277648023,12/29/2019,music,"65 Leslie Park Rd, Croydon CR0 6TP, United Kingdom",The Builders Arms,ChIJTdPXw9EAdkgR58-q6u_TEII,4.2,"['bar', 'point_of_interest', 'establishment']",321.0
The Duke,Kingston Upon Thames ,,,E09000021,Kingston Upon Thames,128019405.0,E05000412,St. Mark's,www.thedukeofyork.com,-0.30669984657880284,51.3919574553442,517908.9680671538,167239.92749027984,12/29/2019,music,"64-65 Victoria Rd, Surbiton KT6 4NQ, United Kingdom",The Duke,ChIJx1RkurULdkgRCwbWbpXngjY,4.0,"['bar', 'point_of_interest', 'establishment']",218.0
Lamb Inn,73 Brighton Road,Kingston Upon Thames,,E09000021,Kingston Upon Thames,128002149.0,E05000412,St. Mark's,www.lambsurbiton.co.uk,-0.31138253249216497,51.39204300227718,517582.9681547529,167241.92749033892,12/29/2019,music,"73 Brighton Rd, Surbiton KT6 5NF, United Kingdom",The Lamb,ChIJG6W9kbMLdkgRsnStK9VB7h8,4.6,"['bar', 'point_of_interest', 'establishment']",291.0
Black Lion,58 Brighton Road,Kingston Upon Thames,,E09000021,Kingston Upon Thames,100000000000.0,E05000412,St. Mark's,www.theblacklionsurbiton.co.uk,-0.31044741195391024,51.39206549624857,517647.96813728963,167245.9274891236,12/29/2019,music,"The Black Lion, 59-61 High St, Plaistow, London E13 0AD, United Kingdom",The Black Lion Pub,ChIJFdWiK-qn2EcRjNJQGZfFWcg,4.4,"['bar', 'point_of_interest', 'establishment']",338.0
